color_code,color_card,red,green,blue
1026 Color card,11,249,238,221
KIPAU COLOR CHART,0011P,253,242,231
1026 Color card,12,251,237,207
KIPAU COLOR CHART,0012P,251,241,232
1026 Color card,13,255,229,160
KIPAU COLOR CHART,0013P,255,243,229
1026 Color card,14,255,219,108
KIPAU COLOR CHART,0014P,255,238,217
1026 Color card,15,255,223,133
KIPAU COLOR CHART,0015P,252,233,214
1026 Color card,16,255,232,181
KIPAU COLOR CHART,0016P,255,231,203
KIPAU COLOR CHART,0017P,252,232,207
1026 Color card,21,255,242,224
KIPAU COLOR CHART,0021P,252,242,237
1026 Color card,22,255,237,209
KIPAU COLOR CHART,0022P,250,240,231
1026 Color card,23,255,226,156
KIPAU COLOR CHART,0023P,249,239,228
1026 Color card,24,255,214,105
KIPAU COLOR CHART,0024P,246,242,232
1026 Color card,25,255,219,128
KIPAU COLOR CHART,0025P,255,243,230
1026 Color card,26,255,229,178
KIPAU COLOR CHART,0026P,255,243,231
KIPAU COLOR CHART,0027P,255,242,228
1026 Color card,31,238,221,194
KIPAU COLOR CHART,0031P,252,244,235
1026 Color card,32,249,220,172
KIPAU COLOR CHART,0032P,255,245,226
1026 Color card,33,246,207,122
KIPAU COLOR CHART,0033P,255,242,224
1026 Color card,34,208,179,98
KIPAU COLOR CHART,0034P,255,242,228
1026 Color card,35,246,199,93
KIPAU COLOR CHART,0035P,252,236,209
1026 Color card,36,245,211,145
KIPAU COLOR CHART,0036P,253,235,203
KIPAU COLOR CHART,0037P,246,232,210
1026 Color card,41,211,193,168
KIPAU COLOR CHART,0041P,255,241,226
1026 Color card,42,216,191,147
KIPAU COLOR CHART,0042P,255,235,216
1026 Color card,43,191,157,100
KIPAU COLOR CHART,0043P,253,231,214
1026 Color card,44,142,111,60
KIPAU COLOR CHART,0044P,255,238,225
1026 Color card,45,165,135,85
KIPAU COLOR CHART,0045P,255,232,214
1026 Color card,46,214,181,121
KIPAU COLOR CHART,0046P,255,228,206
KIPAU COLOR CHART,0047P,255,223,198
1026 Color card,51,183,167,145
KIPAU COLOR CHART,0051P,255,237,225
1026 Color card,52,187,163,125
KIPAU COLOR CHART,0052P,255,233,217
1026 Color card,53,141,119,89
KIPAU COLOR CHART,0053P,251,225,202
1026 Color card,54,90,67,28
KIPAU COLOR CHART,0054P,248,228,222
1026 Color card,55,117,95,65
KIPAU COLOR CHART,0055P,255,231,221
1026 Color card,56,161,140,107
KIPAU COLOR CHART,0056P,255,223,216
KIPAU COLOR CHART,0057P,255,221,204
1026 Color card,61,255,241,225
KIPAU COLOR CHART,0061P,254,245,239
1026 Color card,62,255,233,203
KIPAU COLOR CHART,0062P,246,234,227
1026 Color card,63,255,218,150
KIPAU COLOR CHART,0063P,243,231,223
1026 Color card,64,255,201,104
KIPAU COLOR CHART,0064P,253,235,223
1026 Color card,65,255,212,131
