color_code,color_card,red,green,blue
0166D,1026-TC,244,215,78
0167D,1026-TC,245,207,57
0176D,1026-TC,253,212,88
0177D,1026-TC,255,199,8
0186D,1026-TC,255,200,78
0187D,1026-TC,255,180,28
0196D,1026-TC,255,185,54
0197D,1026-TC,255,183,51
0205D,1026-TC,255,185,65
0206D,1026-TC,245,177,70
0207D,1026-TC,230,160,57
0216D,1026-TC,230,169,77
0217D,1026-TC,225,159,73
0227D,1026-TC,211,141,76
0236D,1026-TC,221,152,91
0237D,1026-TC,189,116,58
0246D,1026-TC,208,130,76
0247D,1026-TC,175,97,55
0256D,1026-TC,243,150,80
0257D,1026-TC,232,138,92
0265D,1026-TC,248,157,73
0266D,1026-TC,244,152,75
0267D,1026-TC,236,131,62
0275D,1026-TC,233,148,104
0276D,1026-TC,228,138,95
0277D,1026-TC,187,94,60
0286D,1026-TC,246,136,102
0287D,1026-TC,223,93,58
0296D,1026-TC,247,159,141
0297D,1026-TC,236,124,101
0306D,1026-TC,215,124,115
0307D,1026-TC,165,78,64
0316D,1026-TC,236,121,108
0317D,1026-TC,217,84,63
0326D,1026-TC,219,118,136
0327D,1026-TC,219,109,123
0336AD,1026-TC,194,106,150
0336BD,1026-TC,200,155,183
0336D,1026-TC,215,99,115
0337AD,1026-TC,162,109,140
0337BD,1026-TC,202,109,141
0337D,1026-TC,200,79,94
0346D,1026-TC,195,104,105
0347D,1026-TC,149,73,68
0356D,1026-TC,183,100,104
0357D,1026-TC,175,94,104
0366D,1026-TC,181,120,128
0367D,1026-TC,158,88,96
0377D,1026-TC,172,89,84
0386D,1026-TC,198,123,109
0387D,1026-TC,169,99,89
0397D,1026-TC,158,103,77
0406D,1026-TC,168,94,78
0407D,1026-TC,158,83,71
0415D,1026-TC,188,115,95
0416D,1026-TC,174,99,81
0417D,1026-TC,164,87,68
0427D,1026-TC,192,111,79
0436D,1026-TC,192,124,92
0437D,1026-TC,170,96,72
0446D,1026-TC,188,129,92
0447D,1026-TC,160,104,74
0456D,1026-TC,180,134,96
0457D,1026-TC,159,117,80
0466D,1026-TC,165,123,91
0467D,1026-TC,142,103,77
0476D,1026-TC,163,129,95
0477D,1026-TC,132,102,75
0486D,1026-TC,193,150,98
0487D,1026-TC,155,130,92
0497D,1026-TC,222,169,107
0506D,1026-TC,216,159,90
0507D,1026-TC,194,138,74
0516D,1026-TC,161,122,89
0517D,1026-TC,158,118,88
0526D,1026-TC,179,146,101
0527D,1026-TC,144,118,84
0536D,1026-TC,153,122,89
0537D,1026-TC,126,105,81
0546D,1026-TC,165,116,90
0547D,1026-TC,149,98,74
0556D,1026-TC,156,100,83
0557D,1026-TC,144,90,79
0567D,1026-TC,141,97,86
0575D,1026-TC,165,108,93
0576D,1026-TC,147,94,81
0577D,1026-TC,128,76,62
0585D,1026-TC,167,106,86
0586D,1026-TC,158,100,84
0587D,1026-TC,137,85,68
0596D,1026-TC,158,103,85
0597D,1026-TC,133,85,71
0607D,1026-TC,154,102,81
0617D,1026-TC,145,100,76
0626D,1026-TC,150,115,96
0627D,1026-TC,133,94,79
0636D,1026-TC,148,108,99
0637D,1026-TC,140,89,77
0647D,1026-TC,156,98,98
0657D,1026-TC,176,120,109
0666D,1026-TC,162,107,103
0667D,1026-TC,129,78,77
0676D,1026-TC,142,100,105
0677D,1026-TC,109,72,75
0686D,1026-TC,139,96,98
0687D,1026-TC,113,74,75
0697D,1026-TC,126,92,89
0707D,1026-TC,140,103,92
0716D,1026-TC,135,101,92
0717D,1026-TC,111,80,72
0726D,1026-TC,140,109,97
0727D,1026-TC,111,84,73
0736D,1026-TC,154,120,99
0737D,1026-TC,124,93,75
0746D,1026-TC,149,120,98
0747D,1026-TC,121,98,81
0755D,1026-TC,137,112,109
0756D,1026-TC,117,93,90
0757D,1026-TC,99,76,67
0766D,1026-TC,127,101,92
0767D,1026-TC,98,76,70
0776D,1026-TC,111,97,96
0777D,1026-TC,84,73,71
0786D,1026-TC,137,116,101
0787D,1026-TC,103,87,74
0796D,1026-TC,121,104,97
0797D,1026-TC,81,67,65
0806D,1026-TC,130,116,102
0807D,1026-TC,104,91,80
0817D,1026-TC,99,86,75
0847D,1026-TC,116,104,83
0857D,1026-TC,129,113,84
0877D,1026-TC,137,110,74
0887D,1026-TC,144,120,77
0897D,1026-TC,118,107,73
0907D,1026-TC,169,150,104
0927D,1026-TC,151,131,62
0937D,1026-TC,186,154,45
0947D,1026-TC,201,167,87
0957D,1026-TC,164,134,62
0967D,1026-TC,156,124,65
0977D,1026-TC,141,122,95
0987D,1026-TC,97,94,82
0997D,1026-TC,96,100,83
1006D,1026-TC,134,145,106
1007D,1026-TC,103,111,76
1017D,1026-TC,117,116,82
1027D,1026-TC,138,131,69
1037D,1026-TC,110,131,70
1047D,1026-TC,86,145,63
1057D,1026-TC,137,159,55
1066D,1026-TC,123,155,100
1067D,1026-TC,112,147,109
1077D,1026-TC,102,139,107
1087D,1026-TC,56,94,80
1096D,1026-TC,112,159,113
1097D,1026-TC,53,103,73
1106D,1026-TC,58,168,125
1107D,1026-TC,15,116,77
1117D,1026-TC,0,172,153
1127D,1026-TC,0,103,95
1137D,1026-TC,51,84,86
1147D,1026-TC,77,135,134
1157D,1026-TC,25,98,109
1167D,1026-TC,49,133,149
1177D,1026-TC,54,66,79
1197D,1026-TC,61,74,92
1207D,1026-TC,88,112,136
1217D,1026-TC,97,124,167
1227D,1026-TC,42,79,114
1236D,1026-TC,81,117,154
1237D,1026-TC,90,116,147
1247D,1026-TC,52,74,97
1257D,1026-TC,40,74,95
